cibil__user,overdue_amount_ongoing,overdue_number_ongoing,funded_amount_ongoing,highest_fundamt_ongoing,total_loans_ongoing,total_emi_ongoing,total_current_due_ongoing,settle_12month
114304,856.0,2.0,198392.0,75000.0,11.0,2078.0,181219.0,0.0
114346,0.0,0.0,157869.0,89000.0,5.0,5989.0,131670.0,0.0
114358,0.0,0.0,967700.0,758000.0,8.0,0.0,1140989.0,0.0
114383,0.0,0.0,782895.0,400000.0,5.0,3023.0,789536.0,0.0
114395,0.0,0.0,65000.0,50000.0,3.0,2821.0,73935.0,0.0
114397,11677.0,4.0,213669.0,150000.0,8.0,12640.0,207082.0,0.0
114398,321390.0,5.0,270000.0,266000.0,5.0,0.0,370421.0,2.0
114399,10617.0,2.0,272999.0,150000.0,11.0,14486.0,371410.0,0.0
114401,56083.0,1.0,709558.0,689558.0,2.0,17325.0,639412.0,0.0
114422,0.0,0.0,154000.0,144000.0,2.0,0.0,142745.0,0.0
114432,0.0,0.0,580300.0,254000.0,14.0,7208.0,428507.0,0.0
114434,5170.0,1.0,25000.0,25000.0,2.0,2583.0,27755.0,0.0
114449,0.0,0.0,50000.0,28000.0,3.0,7000.0,49701.0,1.0
114487,6129.0,1.0,390000.0,300000.0,5.0,10300.0,331577.0,0.0
114489,0.0,0.0,114600.0,29500.0,3.0,4751.0,15715.0,0.0
114522,0.0,0.0,718100.0,200000.0,8.0,17917.0,525024.0,0.0
114529,183823.0,1.0,0.0,0.0,3.0,0.0,202213.0,1.0
114530,0.0,0.0,5928459.0,2011930.0,22.0,42935.0,5919085.0,0.0
114534,0.0,0.0,85000.0,85000.0,1.0,0.0,87913.0,0.0
114537,11015.0,1.0,229650.0,125000.0,3.0,17063.0,47608.0,0.0
114543,40914.0,3.0,690360.0,246360.0,10.0,19290.0,882318.0,0.0
114544,546.0,1.0,3324784.0,2040000.0,10.0,31052.0,3048874.0,0.0
114568,0.0,0.0,588190.0,208475.0,12.0,3568.0,670690.0,0.0
114573,0.0,0.0,13600.0,10600.0,2.0,3746.0,36087.0,0.0
114580,0.0,0.0,47100.0,32100.0,1.0,3157.0,2300.0,0.0
114582,4431.0,1.0,45000.0,45000.0,2.0,0.0,57610.0,0.0
114594,0.0,0.0,10000.0,10000.0,1.0,0.0,10000.0,0.0
114596,0.0,0.0,50000.0,50000.0,1.0,2873.0,48502.0,0.0
114617,0.0,0.0,549982.0,200000.0,16.0,18467.0,752298.0,0.0
114619,0.0,0.0,10500.0,10500.0,1.0,0.0,10500.0,0.0
114646,28044.0,2.0,158000.0,100000.0,2.0,16164.0,61190.0,0.0
114660,0.0,0.0,7865959.0,2180072.0,25.0,93298.0,7108418.0,0.0
114676,80.0,1.0,251980.0,131000.0,6.0,8157.0,238164.0,0.0
114677,0.0,0.0,47586.0,21599.0,6.0,2970.0,75962.0,0.0
114685,0.0,0.0,0.0,0.0,1.0,2292.0,48124.0,0.0
114688,0.0,0.0,1957990.0,1162000.0,5.0,0.0,1895305.0,0.0
114692,0.0,0.0,469901.0,170000.0,17.0,15677.0,457518.0,0.0
114728,185212.0,5.0,3535100.0,2784600.0,7.0,0.0,3319947.0,1.0
114734,12258.0,2.0,1987513.0,1640877.0,12.0,38465.0,1618202.0,0.0
114740,211527.0,6.0,1886656.0,750000.0,11.0,15105.0,1876524.0,1.0
114744,0.0,0.0,201446.0,62000.0,5.0,2400.0,170110.0,0.0
114745,8062.0,1.0,320000.0,320000.0,3.0,0.0,287426.0,2.0
114763,0.0,0.0,235200.0,100000.0,7.0,19072.0,428572.0,0.0
114765,0.0,0.0,85000.0,60000.0,5.0,958.0,62442.0,0.0
114786,53534.0,1.0,375499.0,331000.0,4.0,15000.0,318819.0,1.0
114802,0.0,0.0,12900.0,12900.0,0.0,1398.0,0.0,0.0
114815,4828.0,1.0,306598.0,175598.0,6.0,6116.0,225762.0,0.0
114819,0.0,0.0,112000.0,76000.0,3.0,3198.0,65150.0,0.0
114832,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
114833,42221.0,6.0,1145237.0,611560.0,22.0,9331.0,1191358.0,0.0
114850,0.0,0.0,0.0,0.0,2.0,0.0,61874.0,0.0
114851,0.0,0.0,192175.0,106175.0,6.0,9198.0,181856.0,0.0
114858,2916.0,1.0,365900.0,315900.0,5.0,8901.0,411845.0,0.0
114874,30563.0,5.0,1006837.0,576000.0,14.0,26826.0,1116360.0,0.0
114880,16529.0,2.0,1858181.0,1250000.0,12.0,8725.0,1594673.0,0.0
114889,20429.0,2.0,317679.0,300000.0,2.0,0.0,218058.0,0.0
114898,0.0,0.0,25000.0,25000.0,2.0,2425.0,26500.0,0.0
114912,10315.0,1.0,25000.0,10000.0,1.0,2245.0,10315.0,0.0
114927,0.0,0.0,10000.0,10000.0,1.0,0.0,10327.0,0.0
114977,0.0,0.0,104000.0,77000.0,2.0,5365.0,73561.0,0.0
114985,511.0,1.0,259000.0,200000.0,2.0,10200.0,254575.0,0.0
114986,1753.0,2.0,518630.0,300000.0,8.0,1152.0,186225.0,1.0
114987,8942.0,2.0,1022781.0,435000.0,18.0,16125.0,958848.0,0.0
114988,0.0,0.0,119000.0,94000.0,2.0,7459.0,119000.0,0.0
115008,0.0,0.0,568000.0,512000.0,5.0,0.0,536235.0,0.0
115009,0.0,0.0,393480.0,204495.0,6.0,0.0,334180.0,0.0
115013,0.0,0.0,351399.0,170000.0,4.0,9348.0,275173.0,0.0
115016,0.0,0.0,438970.0,291000.0,6.0,0.0,403334.0,0.0
115018,4130.0,1.0,3218252.0,2680000.0,14.0,1512.0,3021869.0,0.0
115025,0.0,0.0,66200.0,50000.0,2.0,0.0,58174.0,0.0
115028,0.0,0.0,442889.0,320000.0,8.0,3973.0,446475.0,0.0
115048,0.0,0.0,471000.0,245000.0,5.0,3156.0,416598.0,0.0
115055,47020.0,2.0,143000.0,100000.0,3.0,5601.0,144555.0,2.0
115056,8176.0,3.0,381313.0,100000.0,14.0,16713.0,553552.0,0.0
115060,20.0,1.0,911084.0,646761.0,14.0,10798.0,829889.0,0.0
115065,0.0,0.0,34999.0,21999.0,4.0,2445.0,53569.0,0.0
115067,0.0,0.0,148000.0,50000.0,6.0,5887.0,179329.0,0.0
115084,0.0,0.0,1645000.0,830000.0,5.0,28053.0,1293272.0,0.0
115100,15.0,1.0,23005.0,14990.0,3.0,0.0,37977.0,1.0
115123,0.0,0.0,68077.0,36239.0,2.0,0.0,33960.0,0.0
115125,10603.0,3.0,167959.0,50000.0,8.0,0.0,412680.0,0.0
115126,0.0,0.0,123000.0,50000.0,6.0,5830.0,87533.0,0.0
115134,14880.0,1.0,182329.0,110000.0,4.0,4068.0,186361.0,0.0
115135,0.0,0.0,239220.0,100000.0,9.0,0.0,268640.0,0.0
115146,0.0,0.0,20000.0,11000.0,2.0,0.0,18639.0,0.0
115149,0.0,0.0,1155000.0,996000.0,7.0,13821.0,1120681.0,1.0
115150,14855.0,4.0,306000.0,126000.0,7.0,6218.0,370736.0,0.0
115153,5325.0,3.0,242785.0,60000.0,8.0,4609.0,105698.0,0.0
115154,0.0,0.0,160500.0,125000.0,4.0,8000.0,119061.0,0.0
115166,0.0,0.0,428781.0,100000.0,14.0,13643.0,417992.0,0.0
115215,1376.0,1.0,521774.0,129673.0,12.0,8821.0,436276.0,0.0
115217,0.0,0.0,234754.0,150000.0,6.0,0.0,203915.0,0.0
115225,18003.0,2.0,541281.0,289000.0,7.0,2782.0,558250.0,0.0
115229,0.0,0.0,117847.0,21090.0,11.0,1772.0,72108.0,0.0
115237,0.0,0.0,1434011.0,415261.0,15.0,3712.0,1122069.0,0.0
115243,0.0,0.0,2212052.0,1723808.0,10.0,0.0,2254475.0,0.0
115252,0.0,0.0,30000.0,30000.0,1.0,2105.0,22386.0,0.0
115253,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
115282,343.0,1.0,5639.0,5639.0,2.0,1160.0,59113.0,0.0
115288,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
115303,0.0,0.0,303906.0,90000.0,13.0,3394.0,474396.0,0.0
115308,28136.0,3.0,361249.0,152186.0,10.0,18746.0,282472.0,0.0
115311,15077.0,2.0,88500.0,31000.0,5.0,0.0,65885.0,1.0
115312,1640.0,1.0,189500.0,69000.0,4.0,3617.0,152177.0,0.0
115321,3322.0,1.0,230000.0,205000.0,3.0,0.0,108566.0,0.0
115328,0.0,0.0,561324.0,165000.0,16.0,19614.0,504205.0,0.0
115363,0.0,0.0,90000.0,50000.0,2.0,5354.0,75585.0,0.0
115374,0.0,0.0,1030000.0,600000.0,9.0,0.0,852466.0,0.0
115385,0.0,0.0,228000.0,100000.0,8.0,0.0,305529.0,0.0
115393,92094.0,3.0,1340000.0,800000.0,7.0,0.0,1209853.0,1.0
115411,0.0,0.0,121340.0,76637.0,5.0,1041.0,89818.0,0.0
115440,2279.0,1.0,420400.0,190000.0,10.0,19207.0,575140.0,1.0
115443,0.0,0.0,55000.0,50000.0,2.0,0.0,51848.0,0.0
115444,6897.0,2.0,55471.0,34800.0,14.0,3404.0,22661.0,0.0
115449,0.0,0.0,41000.0,30000.0,2.0,5361.0,41717.0,0.0
115460,36.0,1.0,156229.0,60447.0,3.0,5487.0,69406.0,0.0
115468,240.0,1.0,503945.0,200000.0,16.0,12983.0,430532.0,0.0
115494,45753.0,4.0,410200.0,100000.0,18.0,33836.0,1347656.0,0.0
115500,0.0,0.0,3376300.0,2956000.0,16.0,0.0,1925186.0,0.0
115510,872.0,2.0,5710.0,3740.0,3.0,105.0,5106.0,0.0
115511,0.0,0.0,6000.0,3000.0,3.0,0.0,116048.0,0.0
115526,0.0,0.0,130000.0,55000.0,3.0,0.0,90942.0,0.0
115565,0.0,0.0,86000.0,79000.0,2.0,0.0,26235.0,0.0
115575,0.0,0.0,35298.0,21500.0,4.0,0.0,39533.0,0.0
115576,196564.0,2.0,1480000.0,500000.0,5.0,30564.0,758520.0,2.0
115587,0.0,0.0,1786000.0,800000.0,12.0,0.0,2117580.0,0.0
115588,582.0,1.0,151830.0,41888.0,9.0,9499.0,124188.0,0.0
115592,0.0,0.0,303418.0,194000.0,6.0,0.0,331434.0,0.0
115598,0.0,0.0,305000.0,150000.0,4.0,12694.0,229733.0,0.0
115608,26449.0,2.0,170000.0,150000.0,4.0,2000.0,199273.0,0.0
115610,0.0,0.0,5000.0,5000.0,1.0,0.0,5000.0,0.0
115632,0.0,0.0,368127.0,212227.0,5.0,3485.0,318875.0,0.0
115635,0.0,0.0,116000.0,116000.0,2.0,0.0,57125.0,0.0
115656,0.0,0.0,326835.0,200000.0,2.0,0.0,223361.0,0.0
115701,7983.0,4.0,534848.0,165278.0,24.0,10742.0,506766.0,0.0
115736,0.0,0.0,877609.0,303000.0,15.0,17304.0,770743.0,0.0
115739,0.0,0.0,176940.0,50000.0,8.0,5000.0,111543.0,0.0
115741,13792.0,3.0,66978.0,30000.0,6.0,0.0,85050.0,0.0
115765,6967.0,1.0,2558895.0,1550000.0,31.0,45029.0,2122023.0,0.0
115767,4690.0,2.0,136050.0,97800.0,3.0,4027.0,98430.0,0.0
115768,0.0,0.0,20906.0,13000.0,4.0,14655.0,90986.0,0.0
115769,0.0,0.0,72980.0,20250.0,2.0,3740.0,1986.0,0.0
115772,0.0,0.0,702742.0,458000.0,11.0,18103.0,253204.0,0.0
115780,17927.0,4.0,35706.0,15990.0,6.0,0.0,71994.0,0.0
115783,0.0,0.0,300000.0,150000.0,2.0,14546.0,288425.0,0.0
115786,4715.0,2.0,238000.0,145000.0,5.0,2767.0,266868.0,0.0
115792,0.0,0.0,2651493.0,680000.0,24.0,68130.0,2312712.0,0.0
115806,13334.0,1.0,13429.0,12000.0,4.0,0.0,69268.0,0.0
115810,0.0,0.0,252164.0,50590.0,13.0,8851.0,165862.0,0.0
115817,0.0,0.0,289124.0,200000.0,5.0,6514.0,288471.0,0.0
115818,0.0,0.0,168500.0,83500.0,3.0,9501.0,135538.0,0.0
115837,38669.0,2.0,367000.0,150000.0,5.0,25423.0,444591.0,0.0
115838,1200.0,1.0,1200.0,1200.0,1.0,0.0,1200.0,0.0
115844,4921.0,1.0,143000.0,83000.0,1.0,0.0,40999.0,0.0
115849,20659.0,5.0,840666.0,300000.0,22.0,42270.0,603630.0,0.0
115851,72682.0,2.0,6791205.0,1100000.0,23.0,49117.0,5836312.0,0.0
115852,0.0,0.0,508163.0,236000.0,17.0,17021.0,432007.0,0.0
115857,71441.0,4.0,857000.0,350000.0,4.0,22468.0,537010.0,0.0
115860,9190.0,2.0,934000.0,518000.0,9.0,15635.0,707897.0,0.0
115863,3850.0,1.0,279500.0,250000.0,3.0,15906.0,252959.0,0.0
115864,0.0,0.0,1948816.0,1850000.0,4.0,2256.0,1611088.0,1.0
115868,11203.0,1.0,54800.0,54800.0,1.0,0.0,50176.0,0.0
115871,0.0,0.0,197745.0,175000.0,4.0,0.0,185245.0,0.0
115878,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
115893,34850.0,2.0,529006.0,282000.0,5.0,10770.0,199567.0,1.0
115897,45604.0,3.0,131916.0,75000.0,6.0,4752.0,165138.0,0.0
115901,0.0,0.0,661199.0,436199.0,7.0,0.0,655106.0,1.0
115916,0.0,0.0,0.0,0.0,1.0,0.0,37423.0,0.0
115930,104000.0,3.0,953000.0,500000.0,6.0,8425.0,569225.0,1.0
115934,18210.0,6.0,64499.0,12000.0,6.0,5880.0,24962.0,0.0
115945,84649.0,4.0,1697395.0,450000.0,14.0,51338.0,1004513.0,1.0
115951,19082.0,1.0,63747.0,54100.0,1.0,0.0,19082.0,0.0
115952,24699.0,5.0,507297.0,226606.0,9.0,0.0,288161.0,0.0
115962,0.0,0.0,144750.0,50000.0,9.0,15275.0,133157.0,0.0
115967,0.0,0.0,70000.0,60000.0,1.0,10082.0,1.0,0.0
115969,9353.0,1.0,1333790.0,550000.0,16.0,36536.0,1479145.0,0.0
115970,39929.0,4.0,393000.0,119000.0,14.0,21828.0,547475.0,0.0
115982,0.0,0.0,451031.0,250000.0,6.0,6505.0,467484.0,0.0
115990,15711.0,4.0,279691.0,198000.0,5.0,5551.0,37212.0,0.0
